	('cellCount 0',)	('relativeCellCount 1',)	('relativeGrowth 2',)
('GDC-0941 0', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.02', 'replicate: 1', 'experimentDate: 2014-03-19')	10951.0		
('GDC-0941 1', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0283333333333', 'replicate: 1', 'experimentDate: 2014-03-19')	10500.0		
('GDC-0941 2', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0383333333333', 'replicate: 1', 'experimentDate: 2014-03-19')	10548.0		
('GDC-0941 3', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.055', 'replicate: 1', 'experimentDate: 2014-03-19')	10508.0		
('GDC-0941 4', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.0783333333333', 'replicate: 1', 'experimentDate: 2014-03-19')	10854.0		
('GDC-0941 5', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.11048543456', 'replicate: 1', 'experimentDate: 2014-03-19')	11566.0		
('GDC-0941 6', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.15625', 'replicate: 1', 'experimentDate: 2014-03-19')	11644.0		
('GDC-0941 7', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.220970869121', 'replicate: 1', 'experimentDate: 2014-03-19')	11410.0		
('GDC-0941 8', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.3125', 'replicate: 1', 'experimentDate: 2014-03-19')	11430.0		
('GDC-0941 9', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.441941738242', 'replicate: 1', 'experimentDate: 2014-03-19')	12102.0		
('GDC-0941 10', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.625', 'replicate: 1', 'experimentDate: 2014-03-19')	11003.0		
('GDC-0941 11', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 0.883883476483', 'replicate: 1', 'experimentDate: 2014-03-19')	11723.0		
('GDC-0941 12', 'smSalt: 101.0', 'smName: GDC-0941', 'clName: HME1', 'drugConcentration: 1.25', 'replicate: 1', 'experimentDate: 2014-03-19')	10590.0		
