	('totalNumberofCells(Nuclei) 0',)	('numberofApoptoticCells 1',)	('relativeViability 2',)	('meanRelativeViability 3',)	('apoptosisFraction 4',)	('meanApoptosisFraction 5',)
('SB590885 0', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 1')	2021.0	240.0	1.0297	1.0722	0.11875	0.090148
('SB590885 1', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 2')	2026.0	185.0	1.0644	1.0722	0.091313	0.090148
('SB590885 2', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 3')	2056.0	167.0	1.0921	1.0722	0.081226	0.090148
('SB590885 3', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 24', 'replicate: 4')	2049.0	142.0	1.1026	1.0722	0.069302	0.090148
('SB590885 4', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 1')	2306.0	278.0	0.98677	1.2035	0.12056	0.083182
('SB590885 5', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 2')	2596.0	214.0	1.159	1.2035	0.082435	0.083182
('SB590885 6', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 3')	2830.0	189.0	1.285	1.2035	0.066784	0.083182
('SB590885 7', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 48', 'replicate: 4')	3034.0	191.0	1.3833	1.2035	0.062953	0.083182
('SB590885 8', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 1')	2185.0	204.0	0.86491	1.0978	0.093364	0.065658
('SB590885 9', 'smCenterCompoundID: 10046.0', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: C32', 'clCenterSpecificID: 50112', 'drugConcentration: 0.00316', 'timePoint: 72', 'replicate: 2')	2601.0	152.0	1.0692	1.0978	0.058439	0.065658
