	('PC1Loading 0',)	('PC2Loading 1',)
(' 0', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p90RSK(S380)')		
(' 1', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p90RSK(T573)')	-0.083052	1.0129
(' 2', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AKT(T308)')	-0.022903	-1.2911
(' 3', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AKT(S473)')	-1.2837	-2.039
(' 4', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-mTOR(S2448)')		
(' 5', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p70S6K(T421/S424)')	1.3018	-0.26785
(' 6', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-p70S6K(T389)')		
(' 7', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-S6(S235/236)')	1.6156	-0.33704
(' 8', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-AMPK(T172)')	-0.72271	-0.59999
(' 9', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-JNK(T183/Y185)')	0.71127	-1.0338
(' 10', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: Total c-Jun')	1.2218	0.50708
(' 11', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-cJun(S63)')		
(' 12', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-P38(T180/Y182)')	1.9297	0.38577
(' 13', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-HSP27(S82)')		
(' 14', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-NFKB(S536)')	1.4232	-0.02375
(' 15', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: Bim')	-0.20113	-0.078482
(' 16', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: cPARP')	0.92314	-0.40636
(' 17', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p-Histone H3(S10)')	-0.57917	0.30645
(' 18', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 1', 'variable: p27 Kip1')	0.24919	0.42253
(' 19', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p90RSK(S380)')		
(' 20', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p90RSK(T573)')	-1.6424	1.4624
(' 21', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AKT(T308)')	-1.7429	-0.33436
(' 22', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AKT(S473)')	-3.4665	0.081972
(' 23', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-mTOR(S2448)')		
(' 24', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p70S6K(T421/S424)')	1.3755	-0.30846
(' 25', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-p70S6K(T389)')		
(' 26', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-S6(S235/236)')	3.0755	-0.63138
(' 27', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-AMPK(T172)')	-1.8648	0.11278
(' 28', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-JNK(T183/Y185)')	-0.8777	-1.2121
(' 29', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: Total c-Jun')	4.2868	-0.87148
(' 30', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-cJun(S63)')		
(' 31', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-P38(T180/Y182)')	-0.57949	1.4181
(' 32', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-HSP27(S82)')		
(' 33', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-NFKB(S536)')	2.2944	0.20441
(' 34', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: Bim')	-2.6311	-0.010329
(' 35', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: cPARP')	0.52546	-0.38647
(' 36', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p-Histone H3(S10)')	-1.2962	0.23172
(' 37', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 5', 'variable: p27 Kip1')	-1.152	0.24865
(' 38', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p90RSK(S380)')		
(' 39', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p90RSK(T573)')	-1.3102	-0.0031639
(' 40', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AKT(T308)')	-2.6268	0.88985
(' 41', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AKT(S473)')	-3.9205	1.3565
(' 42', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-mTOR(S2448)')		
(' 43', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p70S6K(T421/S424)')	1.9589	-0.31223
(' 44', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-p70S6K(T389)')		
(' 45', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-S6(S235/236)')	3.841	-0.76963
(' 46', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-AMPK(T172)')	-1.343	0.31521
(' 47', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-JNK(T183/Y185)')	-0.14121	-1.1214
(' 48', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: Total c-Jun')	6.7265	-0.5094
(' 49', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-cJun(S63)')		
(' 50', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-P38(T180/Y182)')	-1.3211	0.46039
(' 51', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-HSP27(S82)')		
(' 52', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-NFKB(S536)')	2.6266	-0.12647
(' 53', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: Bim')	-2.4077	0.075212
(' 54', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: cPARP')	-0.3697	-0.036164
(' 55', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p-Histone H3(S10)')	-1.1237	0.018136
(' 56', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 10', 'variable: p27 Kip1')	-2.4636	0.15328
(' 57', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p90RSK(S380)')		
(' 58', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p90RSK(T573)')	1.3676	0.88628
(' 59', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AKT(T308)')	-4.6232	0.65157
(' 60', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AKT(S473)')	-3.6853	2.3111
(' 61', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-mTOR(S2448)')		
(' 62', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p70S6K(T421/S424)')	4.7825	-0.01794
(' 63', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-p70S6K(T389)')		
(' 64', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-S6(S235/236)')	4.7695	-0.83978
(' 65', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-AMPK(T172)')	-3.6999	-0.022426
(' 66', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-JNK(T183/Y185)')	-1.7331	-0.88435
(' 67', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: Total c-Jun')	4.7707	0.93542
(' 68', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-cJun(S63)')		
(' 69', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-P38(T180/Y182)')	-2.7895	0.70934
(' 70', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-HSP27(S82)')		
(' 71', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-NFKB(S536)')	-0.0014736	0.85416
(' 72', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: Bim')	-5.8031	0.97812
(' 73', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: cPARP')	-3.1243	-1.4432
(' 74', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p-Histone H3(S10)')	3.4106	0.32607
(' 75', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 24', 'variable: p27 Kip1')	-6.3638	0.34918
(' 76', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p90RSK(S380)')		
(' 77', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p90RSK(T573)')	-1.303	-1.1907
(' 78', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AKT(T308)')	-7.5226	0.082427
(' 79', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AKT(S473)')	-0.36254	2.7171
(' 80', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-mTOR(S2448)')		
(' 81', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p70S6K(T421/S424)')	4.9175	-0.36024
(' 82', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-p70S6K(T389)')		
(' 83', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-S6(S235/236)')	3.4998	0.12618
(' 84', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-AMPK(T172)')	-8.0544	-1.1341
(' 85', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-JNK(T183/Y185)')	-1.8492	1.4649
(' 86', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: Total c-Jun')	0.80821	2.2957
(' 87', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-cJun(S63)')		
(' 88', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-P38(T180/Y182)')	-4.7331	1.7643
(' 89', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-HSP27(S82)')		
(' 90', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-NFKB(S536)')	0.96642	3.1305
(' 91', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: Bim')	-8.0714	0.97247
(' 92', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: cPARP')	-9.1559	-2.2771
(' 93', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p-Histone H3(S10)')	6.9661	-0.16175
(' 94', 'clName: C32', 'clCenterSpecificID: 50112', 'timePoint: 48', 'variable: p27 Kip1')	-7.7698	-0.16574
