	('logFC 0',)	('logCPM 1',)	('PValue 2',)
('0 0', 'Cell: A', 'Condition2: TRS', 'Gene: RPS9')	-1.00523122222	9.91436824002	2.13936391926e-09
('1 1', 'Cell: A', 'Condition2: TRS', 'Gene: RPL28')	-0.807378939058	9.73821858621	1.38477604066e-06
('2 2', 'Cell: A', 'Condition2: TRS', 'Gene: ID1')	1.89765319888	3.65097813002	1.36427825658e-05
('3 3', 'Cell: A', 'Condition2: TRS', 'Gene: RPL18')	-0.689803658367	8.67771400758	7.5402681106e-05
('4 4', 'Cell: A', 'Condition2: TRS', 'Gene: TSPYL5')	2.63325786495	2.6759851289	0.000111965194617
('5 5', 'Cell: A', 'Condition2: TRS', 'Gene: ADAMTS1')	1.04957868529	5.17780310844	0.000136185158355
('6 6', 'Cell: A', 'Condition2: TRS', 'Gene: C3orf52')	-5.40668440544	2.4702672278	0.00014014404476
('7 7', 'Cell: A', 'Condition2: TRS', 'Gene: CPSF4')	2.74260312256	2.55374268342	0.000220568517648
('8 8', 'Cell: A', 'Condition2: TRS', 'Gene: OXTR')	1.03157047927	5.02076674391	0.000342415537488
('9 9', 'Cell: A', 'Condition2: TRS', 'Gene: PDRG1')	1.58255559435	3.51313340396	0.000631433302023
('10 10', 'Cell: A', 'Condition2: TRS', 'Gene: PTK7')	1.33384262689	3.88060884118	0.000633770792237
('11 11', 'Cell: A', 'Condition2: TRS', 'Gene: ZNF354A')	2.48775083357	2.5971221515	0.000769300516261
('12 12', 'Cell: A', 'Condition2: TRS', 'Gene: PDIA3')	0.922123063103	5.17632759436	0.000862251001794
('13 13', 'Cell: A', 'Condition2: TRS', 'Gene: MRPS28')	-0.85109184767	5.7355134329	0.000896175438788
('14 14', 'Cell: A', 'Condition2: TRS', 'Gene: LY96')	-0.688074532551	6.60147419427	0.000909967411784
('15 15', 'Cell: A', 'Condition2: TRS', 'Gene: ADAMTSL5')	3.19492967389	2.13294238493	0.000983852579015
('16 16', 'Cell: A', 'Condition2: TRS', 'Gene: STK38')	1.31909978771	3.90131819443	0.00104113156222
('17 17', 'Cell: A', 'Condition2: TRS', 'Gene: MCRS1')	1.54897537446	3.39777991558	0.00114743914127
('18 18', 'Cell: A', 'Condition2: TRS', 'Gene: RGS5')	0.58507646457	7.29755132827	0.00127424588367
('19 19', 'Cell: A', 'Condition2: TRS', 'Gene: CCDC85C')	2.81582528795	2.21705332457	0.00160661801092
('20 20', 'Cell: A', 'Condition2: TRS', 'Gene: GJA1')	0.572261962384	7.36463463504	0.00172982604063
('21 21', 'Cell: A', 'Condition2: TRS', 'Gene: MASP1')	1.23705771147	3.89496963158	0.00181483763098
('22 22', 'Cell: A', 'Condition2: TRS', 'Gene: ADHFE1')	2.01147776918	2.66920028853	0.00233149352866
('23 23', 'Cell: A', 'Condition2: TRS', 'Gene: CYR61')	0.561876491615	7.33068390094	0.00245824146196
('24 24', 'Cell: A', 'Condition2: TRS', 'Gene: FTO')	-0.694073859301	6.07783522958	0.00296478493198
('25 25', 'Cell: A', 'Condition2: TRS', 'Gene: PAPPA')	0.682426334165	5.89890469947	0.00312114384906
('26 26', 'Cell: A', 'Condition2: TRS', 'Gene: SLC25A33')	3.02140787895	2.04933243292	0.00326670820002
('27 27', 'Cell: A', 'Condition2: TRS', 'Gene: FECH')	1.33413963823	3.66590473164	0.0033596861222
('28 28', 'Cell: A', 'Condition2: TRS', 'Gene: SNRNP40')	-1.14506519738	4.18817700884	0.00340607626424
('29 29', 'Cell: A', 'Condition2: TRS', 'Gene: SCARF2')	-0.683734627312	6.02140695581	0.00344597005632
('30 30', 'Cell: A', 'Condition2: TRS', 'Gene: PNLDC1')	3.42696518438	1.89525803181	0.00358662288542
('31 31', 'Cell: A', 'Condition2: TRS', 'Gene: KIAA1715')	-0.84298796152	5.22645186913	0.00359282429935
('32 32', 'Cell: A', 'Condition2: TRS', 'Gene: AP2B1')	-0.934272952073	4.91127052036	0.00385677729149
('33 33', 'Cell: A', 'Condition2: TRS', 'Gene: RAB11FIP5')	1.32437805391	3.57250650356	0.00417862573068
('34 34', 'Cell: A', 'Condition2: TRS', 'Gene: CHTOP')	1.39571268781	3.3810387316	0.0042251634418
('35 35', 'Cell: A', 'Condition2: TRS', 'Gene: PTRF')	0.567928839841	6.74580133946	0.00428444312938
('36 36', 'Cell: A', 'Condition2: TRS', 'Gene: RPF2')	-0.593612898898	6.6435271108	0.00430377594121
('37 37', 'Cell: A', 'Condition2: TRS', 'Gene: HSDL2')	-0.764235501376	5.50536659507	0.00436139613985
('38 38', 'Cell: A', 'Condition2: TRS', 'Gene: KPNB1')	0.636844538314	6.12694821488	0.00438031898655
('39 39', 'Cell: A', 'Condition2: TRS', 'Gene: LOC158960')	1.19062799441	3.73035432025	0.00441576277145
('40 40', 'Cell: B', 'Condition2: TRS', 'Gene: RPLP2')	-1.51640074471	10.6056301559	3.97417975575e-19
('41 41', 'Cell: B', 'Condition2: TRS', 'Gene: RPLP1')	-1.07898482525	12.374084913	6.84011235163e-11
('42 42', 'Cell: B', 'Condition2: TRS', 'Gene: RPS9')	1.02258992982	9.32904594251	1.96651809779e-09
('43 43', 'Cell: B', 'Condition2: TRS', 'Gene: RPL18')	-0.89450237724	10.0294398911	1.76323668129e-07
('44 44', 'Cell: B', 'Condition2: TRS', 'Gene: GPX1')	-1.0129430929	5.75208715842	2.97227366529e-05
('45 45', 'Cell: B', 'Condition2: TRS', 'Gene: RHOD')	1.64455586587	3.39898874648	0.000337933001494
('46 46', 'Cell: B', 'Condition2: TRS', 'Gene: ADAMTS6')	1.25560295316	4.1257017707	0.000367405784959
('47 47', 'Cell: B', 'Condition2: TRS', 'Gene: COX10')	-1.92554707987	3.03605663926	0.00045092634445
('48 48', 'Cell: B', 'Condition2: TRS', 'Gene: FMO2')	-0.993982824525	5.07532823087	0.000669240168044
('49 49', 'Cell: B', 'Condition2: TRS', 'Gene: CEP19')	1.84280910417	2.92899600158	0.000933222979676
('50 50', 'Cell: B', 'Condition2: TRS', 'Gene: IFIT2')	-0.841017039267	5.83796728483	0.00100948727175
('51 51', 'Cell: B', 'Condition2: TRS', 'Gene: HMGCS1')	-0.731140106422	6.44446391238	0.00110148595118
('52 52', 'Cell: B', 'Condition2: TRS', 'Gene: NSA2')	-0.59721041084	7.27307740887	0.00131292090077
('53 53', 'Cell: B', 'Condition2: TRS', 'Gene: CELF2')	-1.00967069005	4.87380144412	0.00142252574002
('54 54', 'Cell: B', 'Condition2: TRS', 'Gene: SESN3')	-0.677222829228	6.55938852818	0.00145495322168
('55 55', 'Cell: B', 'Condition2: TRS', 'Gene: ERBB2')	1.95654755994	2.61651296316	0.00148455145018
('56 56', 'Cell: B', 'Condition2: TRS', 'Gene: ALPK1')	-1.26902604511	3.72974607851	0.00150088781688
('57 57', 'Cell: B', 'Condition2: TRS', 'Gene: TXNRD1')	-0.551320364364	8.57810421463	0.00153237459963
('58 58', 'Cell: B', 'Condition2: TRS', 'Gene: C10orf10')	-0.796982828174	5.44388073594	0.00154974872628
('59 59', 'Cell: B', 'Condition2: TRS', 'Gene: FMN2')	-2.71011898755	2.31719580083	0.00156101915628
('60 60', 'Cell: B', 'Condition2: TRS', 'Gene: TPM2')	0.540580564269	8.95151092035	0.00166249523015
('61 61', 'Cell: B', 'Condition2: TRS', 'Gene: ACAP1')	2.65553844745	2.29505622309	0.0016740610775
('62 62', 'Cell: B', 'Condition2: TRS', 'Gene: MT2A')	-0.535281297394	8.99769232744	0.00177950809259
('63 63', 'Cell: B', 'Condition2: TRS', 'Gene: ZBED4')	1.76784497824	2.69649967528	0.00223053052615
('64 64', 'Cell: B', 'Condition2: TRS', 'Gene: SEC16A')	-1.35908553465	3.6147374953	0.00223091616017
('65 65', 'Cell: B', 'Condition2: TRS', 'Gene: TP53INP2')	-2.65404586003	2.31238390735	0.00232773927236
('66 66', 'Cell: B', 'Condition2: TRS', 'Gene: MARCKSL1')	-2.14230577655	2.60392330118	0.002343339112
('67 67', 'Cell: B', 'Condition2: TRS', 'Gene: TAGLN')	0.504864265967	9.92211858883	0.00249267760131
('68 68', 'Cell: B', 'Condition2: TRS', 'Gene: SLC38A1')	-0.761918929606	5.30777383704	0.0029771280284
('69 69', 'Cell: B', 'Condition2: TRS', 'Gene: ZNF419')	-2.26313812701	2.41771792181	0.00298754981433
('70 70', 'Cell: B', 'Condition2: TRS', 'Gene: ZNF121')	-2.25476495454	2.41420892287	0.00299692967152
('71 71', 'Cell: B', 'Condition2: TRS', 'Gene: CRIP1')	0.736474329113	5.76307245521	0.00310326685358
('72 72', 'Cell: B', 'Condition2: TRS', 'Gene: POFUT2')	-1.08639475728	4.39004308413	0.00314183822245
('73 73', 'Cell: B', 'Condition2: TRS', 'Gene: TMEM99')	0.820031605383	4.70009365118	0.00333745035647
('74 74', 'Cell: B', 'Condition2: TRS', 'Gene: KGFLP2')	-2.2563312892	2.75451681485	0.0033814552303
('75 75', 'Cell: B', 'Condition2: TRS', 'Gene: CREBL2')	-1.04603996683	4.40841181766	0.00344984224264
('76 76', 'Cell: B', 'Condition2: TRS', 'Gene: SCN9A')	0.765957704461	5.21694760528	0.00348550464919
('77 77', 'Cell: B', 'Condition2: TRS', 'Gene: LDLRAD4')	-3.15375020424	2.14550245057	0.00367583214515
('78 78', 'Cell: B', 'Condition2: TRS', 'Gene: SLMAP')	0.728036482666	5.66029260263	0.00374442604788
('79 79', 'Cell: B', 'Condition2: TRS', 'Gene: AKT2')	-1.73850885068	2.7146094972	0.00405925016357
('80 80', 'Cell: B', 'Condition2: TRS+URS', 'Gene: RPLP2')	-1.8208495476	10.654079833	1.30522974662e-23
('81 81', 'Cell: B', 'Condition2: TRS+URS', 'Gene: RPL18')	-1.23768558563	10.0066713512	6.55507736288e-12
('82 82', 'Cell: B', 'Condition2: TRS+URS', 'Gene: RPLP1')	-1.093720575	12.4536730484	3.32720698408e-10
('83 83', 'Cell: B', 'Condition2: TRS+URS', 'Gene: HMGCS1')	-1.28897308414	6.39574689997	2.9399109384e-06
('84 84', 'Cell: B', 'Condition2: TRS+URS', 'Gene: FGF7')	-0.967357750319	7.01273046787	9.38938538603e-06
('85 85', 'Cell: B', 'Condition2: TRS+URS', 'Gene: ABCA9')	-1.43572725614	5.50735053638	1.60048254046e-05
('86 86', 'Cell: B', 'Condition2: TRS+URS', 'Gene: HMGCR')	-1.06110247616	6.66711460056	2.72662059141e-05
('87 87', 'Cell: B', 'Condition2: TRS+URS', 'Gene: ADH1B')	-0.811262253783	7.46968513397	6.11546847587e-05
('88 88', 'Cell: B', 'Condition2: TRS+URS', 'Gene: RFC1')	-0.772492245674	7.77496846537	6.54593190012e-05
('89 89', 'Cell: B', 'Condition2: TRS+URS', 'Gene: TXNIP')	-0.817806900375	7.48605051696	7.51949814153e-05
('90 90', 'Cell: B', 'Condition2: TRS+URS', 'Gene: LOC645638')	-1.97643465929	4.11815203114	9.71495918983e-05
('91 91', 'Cell: B', 'Condition2: TRS+URS', 'Gene: SCD')	-0.852062116108	7.18196551179	0.000128429817907
