	('totalCellCountBeforeTreatment 0',)	('totalCellCountAfterTreatment 1',)	('totalControlCellCount 2',)	('relativeCellCount 3',)	('normalizedGrowthRateInhibitionValue 4',)
('(R)- Roscovitine 0', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J06')	1209.0	4217.0	3980.0	1.0595	1.0684
('(R)- Roscovitine 1', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J06')	1209.0	4768.0	4252.0	1.1211	1.1301
('(R)- Roscovitine 2', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J06')	1209.0	4350.0	4376.0	0.99403	0.99355
('(R)- Roscovitine 3', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J05')	1209.0	4156.0	3980.0	1.0442	1.051
('(R)- Roscovitine 4', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J05')	1209.0	4246.0	4252.0	0.9984	0.99824
('(R)- Roscovitine 5', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J05')	1209.0	4167.0	4376.0	0.95221	0.9479
('(R)- Roscovitine 6', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J04')	1209.0	3793.0	3980.0	0.953	0.94474
('(R)- Roscovitine 7', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 2', 'assayWell: J04')	1209.0	3832.0	4252.0	0.90106	0.88836
('(R)- Roscovitine 8', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5', 'replicate: 3', 'assayWell: J04')	1209.0	4170.0	4376.0	0.95289	0.94865
('(R)- Roscovitine 9', 'smallmolecule_smSalt: 101.0', 'smallmolecule_smName: (R)- Roscovitine', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5', 'replicate: 1', 'assayWell: J03')	1209.0	3265.0	3980.0	0.82034	0.78228
