	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('GSK2126458 0', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	156.25	76.0833	199.6667	200.0833	0.96727	0.90802
('GSK2126458 1', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	171.0	200.0833	0.88436	0.84643
('GSK2126458 2', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	148.0	200.0833	0.78502	0.6669
('GSK2126458 3', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	120.0	200.0833	0.58638	0.26145
('GSK2126458 4', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	83.6667	200.0833	0.40626	-0.060891
('GSK2126458 5', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	61.6667	200.0833	0.33978	-0.17455
('GSK2126458 6', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	156.25	76.0833	49.0	200.0833	0.25273	-0.34473
('GSK2126458 7', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	156.25	76.0833	43.3333	200.0833	0.22816	-0.39716
('GSK2126458 8', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	156.25	76.0833	41.0	200.0833	0.20079	-0.44085
('Methotrexate 9', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	156.25	76.0833	202.3333	200.0833	0.99029	0.92449
('Methotrexate 10', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	156.25	76.0833	190.0	200.0833	0.97182	0.9834
('Methotrexate 11', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	156.25	76.0833	186.3333	200.0833	0.95604	0.96295
('Methotrexate 12', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	156.25	76.0833	198.6667	200.0833	0.96687	0.90918
('Methotrexate 13', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	156.25	76.0833	164.3333	200.0833	0.77771	0.55148
('Methotrexate 14', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	156.25	76.0833	110.3333	200.0833	0.54313	0.18551
