#1.3																									
1750	21	4	0																						
id	Cell Line	Perturbagen	Concentration	Timepoint	pMEK(S217/221)	pERK(T202/Y204)	p-p90RSK(S380)	p-p90RSK(T573)	p-AKT(T308)	p-AKT(S473)	p-mTOR(S2448)	p-p70S6K(T421/S424)	p-p70S6K(T389)	p-S6(S235/236)	p-AMPK(T172)	p-JNK(T183/Y185)	Total c-Jun	p-cJun(S63)	p-P38(T180/Y182)	p-HSP27(S82)	p-NFKB(S536)	Bim	cPARP	p-Histone H3(S10)	p27Kip1
0.00316uM AZ-628 @ 1h (C32)	C32	AZ-628	0.00316uM	1h	0.22484	0.10692	nan	0.01074	0.24791	0.3933	nan	-0.025706	nan	0.18177	0.449	0.33467	0.21424	nan	0.24594	nan	0.29639	0.44137	0.15149	-0.65858	0.26689
0.00316uM AZ-628 @ 5h (C32)	C32	AZ-628	0.00316uM	5h	0.32046	0.10692	nan	0.26967	0.095198	0.05085	nan	0.24691	nan	0.25741	0.44866	0.29457	0.25841	nan	0.2695	nan	0.38211	0.56108	0.26735	0.083863	0.27379
0.00316uM AZ-628 @ 10h (C32)	C32	AZ-628	0.00316uM	10h	0.17433	0	nan	0.62763	0.17423	-0.046276	nan	0.25465	nan	0.097487	0.17855	0.29411	0.31361	nan	0.30474	nan	0.026456	0.32149	0.22472	0.32443	0.35595
0.00316uM AZ-628 @ 24h (C32)	C32	AZ-628	0.00316uM	24h	-0.079853	-0.19265	nan	0.19244	0.1303	0.07829	nan	-0.01612	nan	-0.34066	-0.13945	0.07281	0.044637	nan	-0.048488	nan	-0.39593	-0.16367	-0.15277	-0.36672	0.15273
0.00316uM AZ-628 @ 48h (C32)	C32	AZ-628	0.00316uM	48h	-0.14759	-0.44056	nan	0.22844	0.14551	0.53859	nan	-0.1571	nan	-1.026	-0.26377	0.16293	-0.048156	nan	0.024538	nan	-0.46366	0.27299	0.089072	0.13172	0.047592
0.01uM AZ-628 @ 1h (C32)	C32	AZ-628	0.01uM	1h	-0.16601	-0.19265	nan	-0.31682	0.07496	0.23341	nan	-0.19669	nan	-0.0072316	0.6857	0.14939	-0.021716	nan	0.14537	nan	0.19724	0.577	-0.060545	-0.37391	0.11884
0.01uM AZ-628 @ 5h (C32)	C32	AZ-628	0.01uM	5h	-0.096404	0	nan	0.61939	-0.017933	0.26777	nan	0.16832	nan	-0.073684	0.38095	0.30885	0.056763	nan	0.25156	nan	0.20123	0.5119	-0.09507	0.33054	0.15286
0.01uM AZ-628 @ 10h (C32)	C32	AZ-628	0.01uM	10h	-0.25502	-0.099536	nan	0.21079	-0.026597	0.11766	nan	0.059569	nan	-0.28219	0.32488	0.25153	-0.043297	nan	0.16062	nan	0.0080374	0.47888	-0.24661	0.44136	0.25665
0.01uM AZ-628 @ 24h (C32)	C32	AZ-628	0.01uM	24h	-0.4008	-0.28011	nan	0.082868	0.033906	0.28688	nan	-0.12076	nan	-0.73406	0.11369	0.092208	-0.13797	nan	-0.18398	nan	-0.41088	0.19285	-0.16332	-0.40556	0.076862
0.01uM AZ-628 @ 48h (C32)	C32	AZ-628	0.01uM	48h	-0.35745	-0.50731	nan	0.11009	0.25439	0.73437	nan	-0.18702	nan	-1.4686	-0.17323	0.10469	0.0094661	nan	-0.033312	nan	-0.49748	0.51692	-0.26061	0.28424	0.27386
0.0316uM AZ-628 @ 1h (C32)	C32	AZ-628	0.0316uM	1h	-0.64244	-1.1461	nan	-0.40092	0.040274	0.095077	nan	-0.35433	nan	-0.30882	0.72972	-0.16791	-0.044485	nan	-0.14425	nan	0.17218	0.45301	-0.12045	-0.30734	0.18167
